year,month,day,hour,min,sec,ms,id,data
0,0,0,0,7,19,132,0cfff748,0000000000000000
0,0,0,0,7,19,132,0cfff148,be05be05000000ff
0,0,0,0,7,19,132,0cfff848,00000000e8030000
0,0,0,0,7,19,172,0cfff248,0400040004000400
0,0,0,0,7,19,172,0cfff948,0000000000000000
0,0,0,0,7,19,182,0cfff348,0400040004001500
0,0,0,0,7,19,182,0cfffa48,000000000000ffff
0,0,0,0,7,19,192,0cfff448,0000000000000000
0,0,0,0,7,19,192,0cfffb48,0000000000000000
0,0,0,0,7,19,202,0cfff048,000000000e016400
0,0,0,0,7,19,202,0cfffc48,0000000000000000
0,0,0,0,7,19,212,0cfff148,be05be05000000ff
0,0,0,0,7,19,212,0cfffd48,e8035b050004e803
0,0,0,0,7,19,222,0cfffe48,e903e803ffffffff
0,0,0,0,7,19,232,0cffd048,0000000000000000
0,0,0,0,7,19,252,0cfff048,000000000e016400
0,0,0,0,7,19,252,0cfff748,0000000000000000
0,0,0,0,7,19,264,0cfff148,be05be05000000ff
0,0,0,0,7,19,264,0cfff848,00000000e8030000
0,0,0,0,7,19,272,0cfff248,0400040005000400
0,0,0,0,7,19,272,0cfff948,0000000000000000
0,0,0,0,7,19,282,0cfff348,0400040004001500
0,0,0,0,7,19,282,0cfffa48,000000000000ffff
0,0,0,0,7,19,292,0cfff448,0000000000000000
0,0,0,0,7,19,292,0cfffb48,0000000000000000
0,0,0,0,7,19,302,0cfff048,000000000e016400
0,0,0,0,7,19,302,0cfffc48,0000000000000000
0,0,0,0,7,19,312,0cfff148,be05be05000000ff
0,0,0,0,7,19,312,0cfffd48,e8035b050004e803
0,0,0,0,7,19,322,0cfff548,ce04a802080700ff
0,0,0,0,7,19,322,0cfffe48,e903e803ffffffff
0,0,0,0,7,19,332,0cfff648,a802a802030432ff
0,0,0,0,7,19,332,0cffd048,0000000000000000
0,0,0,0,7,19,353,0cfff048,000000000e016400
0,0,0,0,7,19,353,0cfff748,0000000000000000
0,0,0,0,7,19,362,0cfff148,be05be05000000ff
0,0,0,0,7,19,362,0cfff848,00000000e8030000
